fr,ja
avons,持ってる
reste,残り
désolé,ごめんなさい
maman,ママ
peur,恐れ
arrive,来ます
seul,のみ
vite,早く
prendre,取る
regarde,見えました
air,空気
soit,あります
trois,三
quelle,何
passé,過去
savoir,知っています
plaît,お願いします
choses,物事
moins,もっと少なく
fils,息子
entre,の間に
bas,低いです
appelle,コール
passe,過去
ah,ヘクタール
tête,頭
demain,明日
grand,背が高いです
arrête,停止
faites,メイク
voulez,欲しいです
hé,ねえ
attends,つかまっている
hein,ハァッ
enfants,子供達
assez,足りる
raison,理由
aurais,でしょう
voulais,欲しいです
elles,彼ら
parle,話す
ok,はい
jours,日々
dû,の
moment,瞬間
heure,時間
puis,それから
gars,みんな
hommes,男性
amour,愛する
tard,遅く
toutes,すべて
sommes,あります
tuer,殺します
eh,えっ
ami,友人
connais,知っています
petite,小さい
aider,助けて
chance,幸運
savez,知っています
partir,行きます
sait,知っています
combien,いくら
voiture,車
tant,そう
pris,とら
part,行きます
problème,問題
prends,取る
porte,ドア
coup,脳卒中
serait,だろう
venir,来ます
hui,ホイ
famille,家族
travail,ジョブ
pu,たぶん......だろう
seule,一人で
sens,意味
ni,若しくは
allons,行こう
revoir,また会おう
idée,考え
putain,売春婦
passer,パス
contre,に対して
comprends,理解する
entendu,聞いた
trouvé,見つけます
trouver,見つけます
vieux,古い
vient,ただ
pendant,同時に
aurait,持っています
quelques,少数
attention,警告
demande,リクエスト
chercher,探す
sous,下
voici,ここは
pourrait,たぶん......だろう
sang,血液
pouvez,できる
sortir,外出する
question,質問
histoire,歴史
amis,友人
venez,来ます
frère,兄
rester,滞在
fini,完成
ville,市
nouveau,新着
truc,事
tiens,ここに
mois,月
eux,それら
mec,男
yeux,視線
laisse,綱
super,すごい
belle,綺麗な
longtemps,長い時間
police,警察
eau,水
heures,時間
car,なぜなら
importe,輸入
cas,場合
vont,意志
chaque,各
terre,地球
place,平方
tué,殺します
type,タイプ
main,手
pardon,ごめんなさい
ensemble,一緒
seulement,のみ
guerre,戦争
beau,綺麗な
vers,向かって
mme,夫人
prie,祈る
devant,の前に
trouve,見つけます
partie,部
suite,後に
compris,含みます
matin,朝
leurs,彼らの
aucun,番号
arrivé,来ます
dessus,上記
chérie,恋人
mettre,置く
aide,助けて
étaient,ました
ie,すなわち
perdu,失われました
fin,終わり
sois,されます
premier,最初
genre,種類
aimerais,したいと思う
droit,法律
donne,所与
attendez,待つ
jeune,若い
feu,火
devrais,SHOULD
enfant,子
chambre,ベッドルーム
gros,大
côté,側
venu,来ました
loin,遥か
laisser,てみましょう
donner,与える
jouer,遊びに
savais,知っていました
compte,アカウント
s,S
parlé,話す
minutes,分
regardez,外観
train,列車
première,最初
pouvoir,パワー
aura,持っています
mourir,死にます
dernière,最新
donné,所与
ia,IA
mari,夫
écoute,聴く
enfin,最後に
devrait,SHOULD
mis,置いた
film,映画
aucune,どれか
fort,強い
façon,仕方
pays,国
prêt,準備ができて
madame,夫人
femmes,女子
affaire,場合
pourrais,たぶん......だろう
espère,望む
parti,左
h,時間
boulot,ジョブ
endroit,法定上の
fou,クレージー
corps,体
hier,昨日
dont,その
désolée,ごめんなさい
grande,大きい
point,ポイント
cinq,五
dehors,外側
filles,女の子
cause,原因
vivre,住む
près,近く
pensais,思想
garçon,男の子
chef,チーフ
haut,高い
capitaine,キャプテン
dirait,言うでしょう
bébé,赤ちゃん
celui,それ
demandé,リクエスト
possible,可能
mains,手
ainsi,そう
quatre,四
nouvelle,新着
années,年
plein,いっぱい
semaine,週間
dites,いう
croire,信じます
marche,市場
tour,タワー
école,学校
manger,食べる
plutôt,かなり
docteur,医師
ceux,それら
vérité,真実
vue,見る
arrêter,やめる
essaie,試します
envie,慾望
bientôt,やがて
instant,瞬間
dernier,最新
affaires,ビジネス
arriver,着きます
demander,リクエスト
meilleur,よりよいです
font,メイク
derrière,後ろに
c,対
dollars,ドル
presque,ほとんど
dr,DR
tellement,そんなに
tomber,秋
journée,日
voulait,したかった
appeler,コール
bureau,オフィス
confiance,信頼
garde,保つ
attendre,期待します
numéro,数
serai,意志
dur,ハード
á,に
souviens,思い出します
o,O
voyez,見る
cours,クラス
bonsoir,こんばんは
route,道路
fera,意志
prend,取る
cul,尻
abord,機内で
important,重要
peine,トラブル
croyais,思想
mot,語
devez,必見
suffit,足りる
minute,分
ferme,閉まっている
ben,ベン
plaisir,喜び
chien,犬
jeu,ゲーム
seigneur,主
messieurs,諸君
calme,穏やか
voudrais,したい
heureux,ハッピー
prenez,取る
mariage,結婚式
voit,見ています
parents,親
lls,彼ら
dedans,に
entrer,入る
lit,ベッド
parfait,パーフェクト
fous,クレージー
mlle,MS
rentrer,リターン
ait,持っています
musique,音楽
arrêtez,停止
autant,できるだけ多く
service,サービス
reviens,戻ってくる
ceci,この
drôle,おもしろいです
attend,待機
parfois,時々
téléphone,電話
retour,リターン
ira,意志
e,E
pauvre,貧しいです
verre,ガラス
général,一般的な
new,新着
six,六
pensé,思想
l,リットル
impossible,不可能
fête,パーティー
adore,愛する
coeur,ハート
aimes,愛する
ci,この
ferai,意志
président,大統領
doute,疑問に思う
facile,イージー
entends,聞く
payer,支払う
appelé,呼ばれます
prison,刑務所
john,ジョン
sors,外に出なさい
café,コーヒー
vaut,価値
mauvais,悪い
chéri,ダーリン
oublié,忘れてください
bras,武器
i,私
gentil,種類
faute,欠陥
équipe,チーム
exactement,丁度
cœur,ハート
penser,考えます
changer,スイッチ
commence,開始
lieu,ロケーション
entendre,聞く
ies,IES
roi,キング
plan,予定
partout,いたるところ
joue,演奏する
cher,高価な
morts,デッド
rendre,リターン
écrit,書かれました
travailler,仕事へ
malade,病気
sinon,そうでない場合は
génial,驚くばかり
regarder,見る
veulent,欲しいです
montrer,ショーへ
rentre,戻り値
travaille,作業
armée,軍
voulu,希望
cherche,見ること
état,状態
boire,飲む
sécurité,セキュリティ
dès,から
esprit,マインド
année,年
dix,十
york,ニューヨーク
laissé,綱
bois,木材
mets,皿
propre,掃除
soyez,あります
jack,ジャック
essayer,試します
faisait,ました
tôt,早いです
surtout,大半
arme,武装しました
t,トン
rêve,夢
perdre,失う
avis,見る
semble,そうです
pire,最悪
simple,シンプル
penses,考えます
parles,トーク
paix,平和
livre,配信
dormir,寝るため
voyons,見る
difficile,難しいです
retard,ディレイ
allait,つもりだった
d,D
sujet,主題
appris,学びました
ensuite,それから
sauf,除きます
maître,主人
morte,死んだ女
noir,黒
or,ゴールド
dîner,夕食を持ちます
choix,選択
serais,でしょう
écoute,聴く
sale,汚れた
étiez,ました
sûrement,確かに
an,年
ordre,注文
souvent,しばしば
essayé,試してみました
peuvent,できる
visage,面
bout,終わり
changé,両替
sérieux,深刻
inquiète,心配
âge,年齢
photo,写真
rue,通り
tirer,シュート
comprendre,理解する
face,面
semaines,週間
marché,市場
questions,質問
honneur,名誉
ciel,空
allé,行きます
garder,保つ
chemin,道
grave,深刻
gauche,左
petits,小さい
courant,電流
amie,友人
nouvelles,新着
avion,飛行機
con,女性器
content,ハッピー
force,力
millions,百万
oublie,忘れてください
devoir,関税
prochaine,次
prix,価格
propos,約
bateau,ボート
bouge,動きます
voix,ボイス
rouge,赤
restez,滞在
celle,それ
pouvais,たぶん......だろう
personnes,人
ferais,でしょう
début,初め
espèce,種
gueule,口
acheter,購入
continue,続けてください
sort,運命
faim,飢え
long,長いです
j,J
voyage,旅行
message,メッセージ
sorte,種類
reçu,受け
bienvenue,ようこそ
idiot,馬鹿
certains,いくつか
hôpital,病院
promis,約束しました
devenir,なるために
ouvre,開きます
grâce,優美
sûre,安全
problèmes,問題
armes,武器
trucs,スタッフ
camp,キャンプ
allais,行き
occupe,忙しい
devait,ました
manque,欠如
connaissez,知っています
thé,お茶
avaient,持っていました
cheveux,ヘア
soleil,太陽
salle,ルーム
gagner,勝つために
laissez,休暇
erreur,間違い
cru,ビンテージ
pars,休暇
bizarre,不気味
croyez,信じます
sac,バッグ
hôtel,ホテル
oncle,おじさん
pièce,ルーム
pouvait,たぶん......だろう
fond,バックグラウンド
soirée,イブニング
secret,秘密の
patron,ボス
rapport,報告書
apprendre,学びます
commencé,開始
sauver,保存する
seconde,第2
pensez,考えます
allô,こんにちは
ailleurs,他の場所
agent,エージェント
froid,コールド
seras,なかれ
pied,足
jolie,かなり1
revenir,リターン
scène,シーン
pieds,足
n,ではありません
devons,必見
groupe,グループ
carte,メニュー
aurai,持ってる
effet,効果
neuf,新着
fallait,必要に応じて
monte,マウント
battre,ビート
noël,クリスマス
venue,到着
mots,言葉
tire,描かれました
droite,正しい
libre,自由
soeur,シスター
situation,状況
seront,意志
faux,偽
bordel,トルコ風呂
foutre,くそ
lumière,光
euh,ええと
incroyable,信じられません
tue,殺します
joli,可愛い
connaît,知っています
debout,常任
colonel,大佐
cheval,うま
écoutez,聴く
george,ジョージ
joe,ジョー
vieille,古い
entrez,お入りください
intérieur,内部
coin,コーナー
auras,取得する
gagné,勝った
fric,お金
loi,法律
absolument,全く
dame,レディ
cool,涼しい
magnifique,壮大
dos,バック
occuper,占めるように
présent,現在
retrouver,見つけます
réussi,成功
frank,フランク
rencontrer,会います
aviez,持っていました
meilleure,ベスト
âme,魂
prêts,ローン
doucement,ゆっくり
table,テーブル
lettre,文字
rappelle,思い出します
sam,土
fut,ました
risque,危険
ordres,受注
appel,コール
commencer,始めること
terminé,完成
agit,あります
blanc,白い
sœur,シスター
pareil,同じ
charlie,チャーリー
chaud,ホット
finir,仕上がり
touche,接する
avance,高度
ignore,わからない
meurtre,殺人
tranquille,静か
anniversaire,記念日
déjeuner,ランチ
disais,前記
bord,縁
tom,トム
jeunes,若者
accident,事故
parlez,話す
fasse,メイク
complètement,完全に
déteste,嫌わ
clair,晴れ
marcher,歩く
disait,前記
mauvaise,悪い
envoyé,送信
â,に
professeur,教授
heureuse,ハッピー
doivent,する必要がある
midi,正午
lire,読んだ
moyen,仕方
ferait,どうなります
commandant,司令官
vraie,リアル
sept,セブン
forme,形
tombe,墓
silence,沈黙
sortez,出て行け
connaître,知っています
puisse,できる
cadeau,贈り物
flics,警官
mer,海
médecin,医師
exact,精密
décidé,決定しました
moitié,ハーフ
surprise,驚き
avocat,弁護士
montre,見る
b,B
su,知っていました
porter,運ぶ
télé,テレビ
vivant,生活
jure,誓いました
disent,いう
mr,氏
serez,意志
devriez,SHOULD
devenu,なります
aimé,愛する
diable,悪魔
ligne,ライン
mission,ミッション
suppose,想定
chacun,各
autour,周りに
pote,メイト
grosse,大きい
expliquer,説明します
arrivée,到着
monter,上昇
balle,玉
selon,による
photos,ピクチャー
contrôle,コントロール
prête,準備ができて
anglais,英語
sorti,出た
k,K
bons,良い
disparu,消えていきました
tenir,ホールド
simplement,単に
quitter,休暇へ
envoie,送信
paul,ポール
aimer,お気に入り
voie,仕方
paris,パリ
classe,クラス
huit,8
offre,提供
poste,役職
dangereux,危険な
attaque,攻撃
impression,印象
folle,狂った女
michael,マイケル
mange,食べる
bravo,よくやった
arrière,バック
amérique,アメリカ
suivre,フォローします
aille,行きます
oublier,忘れる
peuple,人
baiser,接吻
rencontré,会います
honte,恥
connard,シットヘッド
trou,穴
retourner,リターン
chanson,歌
change,両替
arrêté,停止
enfer,地獄
écrire,書き込みへ
livres,図書
habitude,習慣
réponse,応答
david,ダビデ
lieutenant,中尉
savait,知っていました
radio,無線
tenez,ホールド
bande,包帯
bob,ボブ
rend,MAKES
compagnie,会社
connu,知られています
secours,助けて
danse,ダンス
met,プット
vol,フライト
vit,生活
conneries,うんこ
aurez,意志
imagine,構想
boîte,ボックス
joué,演奏する
triste,悲しい
sud,南
lu,読んだ
tel,電話
merveilleux,素晴らしい
pute,雌犬
aie,痛いです
ressemble,以下のように見えます
coucher,睡眠
ennuis,トラブル
volé,飛ぶ
sortie,出口
devais,持っていました
combat,戦い
bouche,口
certain,一定
visite,訪問
existe,が存在
bête,愚か
retourne,リターン
approche,アプローチ
pourtant,しかしながら
plusieurs,たくさんの
rire,笑う
but,ゴール
sergent,軍曹
public,公衆
système,システム
présente,現在
dirai,伝えます
faudra,意志
écouter,聴く
hors,除きます
exemple,例
vendre,売る
continuer,続ける
coups,ショット
pourra,意志
sympa,優しいです
nord,北
cuisine,調理
époque,時間
grands,すごい
héros,ヒーロー
étrange,奇妙
avenir,思い付きます
danger,危険
envoyer,送信するには
gouvernement,政府
danser,ダンス
lune,月
etre,することが
poser,ポーズへ
partez,休暇
normal,正常
peau,肌
santé,健康
ecoutez,聴く
ouvrir,開く
nez,鼻
secondes,秒
amoureux,恋人
dommage,哀れみ
pleine,いっぱい
mille,千
banque,バンク
voler,スチール
clé,キー
bonnes,良い
paraît,そうです
servir,機能します
journal,新聞
village,町
tient,保持しています
flic,警官
salaud,クソ野郎
juge,裁判官
tiré,描かれました
cour,裁判所
assis,座っ
bruit,ノイズ
terrible,ひどいです
prochain,次
inspecteur,インスペクター
liberté,自由
blague,冗談で
robe,ドレス
crime,犯罪
bière,ビール
tas,ヒープ
viennent,来ています
don,ドン
reine,女王
protéger,守ります
seuls,のみ
préfère,好む
bar,バー
dingue,クレージー
vent,風
pitié,哀れみ
croit,考えています
payé,支払いました
travers,使って
club,クラブ
garçons,少年たち
conseil,助言
mesdames,女性
sol,接地
bonheur,幸福
rêves,夢
centre,センター
thé,お茶
mêmes,同じ
avions,持っていました
mike,マイク
nulle,何も
stupide,愚か
pouvons,できる
vin,ワイン
tante,叔母
sent,フィール
fiche,プラグ
milieu,中間
signe,符号
unis,ユナイテッド
appelez,コール
départ,出発
inutile,役に立ちません
emmener,持って来ます
comprenez,理解する
liste,リスト
gamin,キッド
johnny,ジョニー
hey,ちょっと
prise,撮影
savent,知っています
différent,異なります
verra,意志
probablement,恐らく
intérêt,関心
choisi,選択
parole,スピーチ
ennemi,敵
vêtements,衣類
aimez,お気に入り
recherche,研究
société,社会
faisais,やっ
peter,おならへ
œil,眼
soin,お手入れ
chère,親愛な
tourne,投入
ià,IA
descendre,降りる
félicitations,おめでとう
pose,ポーズ
position,ポジション
oeil,眼
vouloir,をしたい
mecs,みんな
irai,行きます
spectacle,公演
acheté,購入した
laquelle,これ
rôle,役割
intéresse,興味がある
utiliser,使用する
match,一致
devient,となり
quitté,が終了します
asseoir,シット
environ,約
plait,お願いします
mur,壁
blessé,負傷者
mise,セッティング
harry,ハリー
you,君は
beauté,美しさ
salope,ふしだらな女
parie,ベット
sert,サーブ
soldats,兵隊
films,映画
américain,アメリカン
marier,結婚します
entrée,エントランス
soldat,兵士
ouvert,開いた
sauter,ジャンプ
londres,ロンドン
eiie,eiie
lequel,これ
lâche,緩いです
église,教会
pierre,ピエール
art,アート
fenêtre,窓
humain,人間
tort,違う
cerveau,脳
coupable,有罪の
petites,小さい
promets,約束する
adresse,住所
prince,王子
quartier,地区
espoir,望む
conduire,ドライブ
auriez,でしょう
ridicule,ばかげました
justice,正義
rose,ピンク
venus,金星
max,最大
jimmy,ジミー
presse,急ぎます
adieu,別れ
revient,戻ってくる
expérience,経験
présenter,現在
tombé,墓
faisons,行う
épouser,結婚します
frères,ブラザーズ
veuillez,お願いします
revenu,戻ってきた
colère,怒り
bill,ビル
vis,スクリュー
james,ジェームス
pourriez,かもしれません
jim,ジム
intéressant,面白い
ouvrez,開いた
nature,自然
gosse,キッド
taxi,タクシー
fier,誇りに思う
preuve,証明
riche,リッチ
faudrait,SHOULD
base,ベース
fleurs,フラワーズ
vide,空の
portes,ドア
mademoiselle,お嬢
formidable,素晴らしい
nul,番号
directeur,ディレクター
chanter,歌う
contact,連絡先
histoires,ストーリー
marié,既婚
défense,防衛
répondre,応答
excuse,言い訳
responsable,責任者
deuxième,第2
mary,メアリー
san,さん
appartement,アパート
décision,決定
cinéma,シネマ
jeter,スロー
aimais,気に入りました
cacher,隠す
glace,アイスクリーム
occasion,機会
dents,歯牙
vacances,休暇
course,人種
ravi,喜んで
tueur,キラー
sentir,感じます
courage,勇気
jésus,イエス
allée,私道
capable,できます
essayez,試します
sauvé,安全
longue,長いです
parmi,間で
continuez,続ける
paie,支払う
superbe,見事
français,フランス語
souvenir,メモリ
ouest,どこにあります
dégage,リリース
jambes,下肢
coupe,切り落とさ
immédiatement,一度に
machine,機械
épouse,妻
telle,そのような
marie,既婚
mien,私の
pius,ピウス
certainement,もちろん
bombe,爆弾
types,タイプ
p,P
né,生まれ
manière,仕方
gagne,勝利
prévu,計画
chier,ダンプを取ります
trouves,ました
u,U
idées,考え
touché,接する
rendu,製
monstre,モンスター
km,キロ
retrouve,発見
ha,ハ
f,F
importance,重要性
joie,喜び
dérange,みだれ
arrivent,着きます
court,ショート
pont,ブリッジ
foutu,クソ
bain,浴
oubliez,忘れる
tourner,順番
contente,コンテンツ
attendais,期待
cent,百
enchanté,はじめまして
signifie,手段
américains,我ら
iis,IIS
quitte,が終了します
poisson,魚
henry,ヘンリー
ayez,持ってる
terrain,接地
enquête,調査
horrible,恐ろしい
chat,ネコ
certaines,いくつか
r,R
camion,トラック
copine,ガールフレンド
joyeux,ハッピー
shérif,シェリフ
ramener,連れ戻します
descends,ダウン
éviter,避けるために
projet,事業
and,そして
dossier,フォルダ
respect,尊敬
excellent,優れた
envers,向かって
mariée,既婚
occupé,忙しい
lorsque,いつ
blanche,白い
majesté,尊厳
rencontre,会います
toucher,触る
ange,天使
refuse,ごみ
charge,充電
billy,ビリー
chevaux,馬
v,V
chiens,犬
empêcher,避ける
dure,タフ
zone,ゾーン型
faits,事実
animaux,動物
meilleurs,ベスト
plupart,大半
emmène,とり
étions,ました
politique,政治
chaussures,靴
langue,言語
mangé,食べる
douleur,痛み
planète,惑星
offrir,プランへ
règles,ルール
drogue,薬
réalité,現実
bus,バス
enfoiré,くそったれ
dirais,いう
permis,許可
vécu,住んでいました
chapeau,帽子
île,島
réunion,会議
soient,あります
contraire,逆の
tony,トニー
mettez,置きます
nick,ニック
arrivera,到達します
excuser,言い訳
code,コード化されました
couleur,色
rapide,速いです
raconte,再集計
papier,論文
discuter,議論する
opération,手術
cartes,カード
nourriture,食物
entier,いっぱい
nécessaire,必要
frais,新鮮な
toilettes,バスルーム
spécial,特別
vaisseau,容器
action,アクション
princesse,王女
magasin,ショップ
copain,彼氏
sache,知っています
bu,飲みました
steve,スティーブ
découvert,発見
pain,パン
mignon,可愛い
taille,切る
sacré,神聖
rends,感謝
eddie,エディ
double,ダブル
viendra,来る
imbécile,低能者
essaye,試します
champ,フィールド
personnel,スタッフ
client,お客様
lait,ミルク
contrat,契約する
partis,ゴーン
sexe,性別
mienne,私の
repas,お食事
mémoire,メモリ
destin,運命
direction,方向
dors,睡眠
faite,行われ
pleurer,泣く
couteau,ナイフ
malin,悪性の
remettre,リセット
ray,レイ
témoin,証人
restes,遺体
mètres,メートル
trésor,宝
gosses,子供たち
aiment,お気に入り
washington,ワシントン
habite,生活
foi,信仰
puisque,から
apporté,持ってきた
solution,解決
trouvez,見つけます
nouveaux,新着
réfléchir,反射する
choisir,選択します
goût,味
remercie,感謝
détruire,破壊
université,大学
doux,柔らかい
beaux,綺麗な
raconter,伝えます
vitesse,速度
menti,嘘をつきました
três,非常に
procès,トライアル
enceinte,妊娠しています
amuser,楽しませます
niveau,レベル
vus,見て
miss,お嬢
fermer,近くに
arranger,アレンジ
end,終わり
clients,クライアント
rappeler,折り返し電話
Alex,アレックス
failli,破産
arbre,木
papiers,論文
Sarah,サラ
mérite,値します
différence,差
travaillé,作業
disons,いう
bleu,青
dise,伝えます
aimait,愛し
appelles,コール
espace,スペース
caméra,カメラ
censé,なっ
qu,それ
piste,追跡
sourire,スマイル
courir,ラン
accepter,受け入れます
retrouvé,ました
charles,チャールズ
jambe,脚
angleterre,イングランド
quels,何
préparer,準備する
marre,うんざり
forces,強み
tirez,引く
énorme,巨大な
Danny,ダニー
trés,非常に
invité,ゲスト
rentré,戻り値
officier,役員
pièces,部屋
lettres,手紙
file,ファイル
programme,プログラム
tommy,トミー
arrêt,停止
fout,FOUT
balles,弾丸
flingue,GAT
chasse,ハント
regrette,ごめんなさい
to,に
propres,自分の
victime,犠牲者
appartient,所属
france,フランス
unique,ユニーク
régler,調節します
moindre,小さいです
compter,カウント
voitures,車
énergie,エネルギー
fil,ワイヤー
lycée,高校
crise,危機
stop,停止
image,画像
vérifier,小切手
dimanche,日曜日
appareil,装置
justement,丁度
richard,リチャード
noms,名
million,百万
cassé,壊れた
enlever,離陸する
clés,キーワード
noire,黒
man,おとこ
dépend,依存
derniers,最終
doigts,指
réponds,回答
honnête,正直な
prouver,証明する
preuves,証拠
durant,間に
souris,マウス
entendez,聞く
lever,レイズ
oiseau,鳥
belles,綺麗な
oû,若しくは
apporte,もたらします
grandes,すごい
morceau,ピース
bobby,ボビー
bougez,動き
amène,持って来ます
interdit,禁止されている
présence,プレゼンス
récupérer,回復します
quelles,何
manqué,欠如
cou,首
venait,持っていました
étage,床
regard,外観
bouger,動き
finalement,最後に
couper,切る
urgence,緊急
perds,失う
points,点数
meurt,ダイス
partons,休暇
troisième,第三
savons,知っています
folie,狂気
ancien,前者
chante,歌わ
obtenir,取得する
répète,もう一回言って
toit,ルーフ
humains,人間
robert,ロバート
jardin,庭園
métier,ジョブ
poche,ポーチド
méchant,平均
paradis,パラダイス
proche,閉じる
rejoindre,再結合
lors,それから
nombre,数
crains,恐れ
règle,ルール
frapper,ヒット
intention,意図
succès,成功
forte,強い
gentille,種類
campagne,田舎
raisons,理由
malgré,にもかかわらず
alcool,アルコール
regardé,見えました
jerry,ジェリー
billets,切符売場
fantastique,ファンタスティック
lee,風下
théâtre,劇場
vôtre,君の
samedi,土曜日
pluie,雨
fermé,閉まっている
relation,関係
frappé,ヒット
restaurant,飲食店
douce,新鮮な
maladie,疾患
parlait,話し中
raté,逃しました
casse,壊れた
dessous,未満
pourrai,たぶん......だろう
victoire,勝利
voudrait,でしょう
remarqué,注意
assurer,確保
pleure,泣く
bouteille,ボトル
gare,駅
carrière,キャリア
sentiments,思い
suivi,モニタリング
vies,生活
fiston,息子
vendu,販売
attendant,その間に
pourras,できます
amoureuse,恋愛中
mens,男性用
falloir,する必要がある
chinois,中国の
étranger,外国の
appelait,呼ばれます
assure,分確保
étant,であること
queue,尾
odeur,臭い
enlève,削除し
produit,製品
meurs,死にます
secrets,秘密
pression,圧力
fatigué,疲れました
aies,HAST
plage,ビーチ
okay,はい
animal,動物
frappe,ヒット
montagne,山
coffre,胸
passage,通路
suivant,以下
signal,信号
discours,スピーチ
cents,セント
claire,クレア
g,グラム
rivière,川
costume,スーツ
prendra,とる
souhaite,願い
hasard,危険
journaux,新聞
aveugle,盲検
lis,リリー
demandez,頼みます
retraite,退職
afin,に
vendredi,金曜日
van,バン
auraient,でしょう
obligé,強制
major,スタッフ
neige,雪
remercier,感謝
fusil,マスケット銃
gardes,警備員
faible,低いです
pauvres,貧しいです
noirs,黒
gâteau,ケーキ
cesse,絶えず
parfaitement,完全に
excuses,謝罪
viande,肉
ministre,牧師
univers,宇宙
vienne,ウィーン
utile,有用
demandais,尋ね
crétin,脳たりん
gaffe,失策
cache,隠されました
disant,格言
décider,決めます
dort,スリープ
gaz,ガス
blancs,白人
connaissance,知識
vouliez,欲しいです
jake,ジェイク
vidéo,ビデオ
bataille,戦い
vive,ビバ
anna,アンナ
martin,マーティン
iui,IUI
os,骨
entend,聞こえ
jeux,ゲーム
will,意志
verras,見る
date,日付
échapper,逃れる
naissance,誕生
droits,権利
assassin,暗殺者
attendu,予想
montez,マウント
nouvel,新着
pensent,考えます
génie,天才
sérieusement,ひどく
cible,目標
prépare,作ります
agir,行為へ
militaire,軍事的
futur,未来
attraper,捕まえる
bal,玉
europe,ヨーロッパ
californie,カリフォルニア
donnez,与える
cousin,いとこ
vert,緑
poids,重量
volonté,意志
ventre,腹
accepte,容認されました
amené,持って来ます
recevoir,受信します
inquiétez,心配
perd,失います
autrement,他の
informations,ニュース
titre,題名
célèbre,人気のあります
couple,カップル
sexy,セクシー
serons,意志
certaine,いくつか
parlons,LETの話
star,星
étoiles,出演者
rome,ローマ
los,骨
répondu,答え
resté,残り
charmant,魅力的な
puissant,強いです
zéro,ゼロ
genoux,膝
mine,私の
couilles,ボール
pilote,パイロット
maria,マリア
style,スタイル
ramène,思い出させます
voulons,をしたい
embrasser,キスをする
amener,鉛
valeur,値
fortune,幸運
reprendre,履歴書
revenez,リターン
vieil,古い
walter,ウォルター
servi,務め
arrivés,到着した
lève,調査
voleur,泥棒
côtés,両側
chris,クリス
note,注意
préféré,好む
couché,層
milliers,数千
aéroport,空港
prévenir,防ぐ
château,城
apparemment,明らかに
gardez,保つ
privé,民間
détails,細部
larry,ラリー
direct,直接
reposer,残り
commande,順序付けられました
cherchez,見ること
fer,鉄
conduit,パイプ
conscience,意識
oreilles,耳
conversation,会話
regardes,外観
joues,演奏する
ennemis,敵
attendent,待つ
article,論文
dieux,神々
talent,才能
aise,イージー
poulet,チキン
passée,過去
comprend,備えます
gorge,喉
feras,なかれ
tribunal,裁判所
découvrir,発見する
agréable,楽しいです
jette,スロー
test,テスト
emmerde,面倒
détruit,破壊
nerveux,ナーバス
saint,聖なる
marrant,おもしろいです
joindre,加わります
sentiment,感じ
lance,槍
humaine,人間
acte,行為
jane,ジェーン
pis,乳房
enculé,下劣な男
tuée,殺されました
saura,わかるでしょう
doigt,指
