en,ja
months,ヶ月
u,U
won't,しません
afraid,恐れ
Paris,パリ
single,シングル
joy,喜び
enemy,敵
broken,壊れた
unless,ない限り、
states,状態
ship,輸送する
condition,調子
carry,運ぶ
exclaimed,叫びました
including,含みます
filled,いっぱい
seeing,見て
influence,影響
write,書く
boys,少年たち
appear,現れる
outside,外側
secret,秘密の
parts,部品
please,お願いします
appearance,外観
evil,悪の
march,行進
George,ジョージ
whatever,なんでも
slowly,ゆっくり
tears,涙
horses,馬
places,場所
caught,キャッチ
stay,滞在
instead,その代わり
struck,打た
blue,青
York,ニューヨーク
impossible,不可能
period,限目
sister,シスター
battle,戦い
school,学校
Mary,メアリー
raised,調達
occasion,時
married,既婚
man's,男性の
former,前者
food,食物
youth,若者
learned,学びました
merely,単に
reach,リーチ
system,システム
twenty,二十
dinner,晩ごはん
quiet,静か
easily,簡単に
moved,移動
afterwards,その後
giving,与え
walk,歩く
stopped,停止
laughed,笑いました
language,言語
expression,表現
week,週間
hall,ホール
danger,危険
property,プロパティ
wonder,ワンダー
usual,一般
figure,フィギュア
born,生まれ
court,裁判所
generally,概して
grew,育った
showed,示しました
getting,取得
ancient,古代
respect,尊敬
third,第三
worth,価値
simple,シンプル
tree,木
leaving,退出
remain,残ります
society,社会
fight,戦い
wall,壁
result,結果
heaven,天国
William,ウィリアム
started,開始
command,コマンド
tone,トーン
regard,について
expected,予想
mere,ほんの
month,月
beside,横
silent,サイレント
perfect,パーフェクト
experience,経験
street,通り
writing,書き込み
goes,行きます
circumstances,状況
entirely,全く
fresh,新鮮な
duke,公爵
covered,カバー
bound,バウンド
east,東
wood,木材
stone,結石
quickly,早く
notice,通知
bright,明るい
Christ,キリスト
boat,ボート
noble,ノーブル
meant,意味した
somewhat,幾分
sudden,突然
value,値
c.,C。
direction,方向
chair,椅子
due,原因
support,サポート
tom,トム
date,日付
waiting,待機
Christian,キリスト教徒
village,村
lives,生活
reading,読書
agree,一致します
lines,ライン
considered,考えます
field,フィールド
observed,観測されました
scarcely,ほとんどありません
wished,欲しいです
wait,待つ
greatest,最高の
permission,許可
success,成功
piece,ピース
British,英国人
ex,EX
Charles,チャールズ
formed,形成され
speaking,話し中
trying,しよう
conversation,会話
proper,適切な
hill,丘
music,音楽
opportunity,機会
that's,こと
German,ドイツ人
afternoon,午後
cry,泣く
cost,費用
allowed,許可
girls,女の子
considerable,かなりの
c,C
broke,壊れました
honour,名誉
seven,セブン
private,民間
sit,SIT
news,ニュース
top,上
scene,シーン
discovered,発見
marriage,結婚
step,ステップ
garden,庭園
race,人種
begin,ベギン
per,あたり
individual,個人
sitting,座っ
learn,学びます
political,政治的
difficult,難しいです
bit,ビット
speech,スピーチ
Henry,ヘンリー
lie,横たわる
cast,キャスト
eat,食べる
authority,権限
etc.,等
floor,床
ill,病気で
ways,方法
officers,役員
offered,提供
original,元の
happiness,幸福
flowers,フラワーズ
produced,生産
summer,夏
provide,供給する
study,調査
religion,宗教
picture,画像
walls,壁
personal,個人的な
America,アメリカ
watch,見る
pleased,喜んで
leaves,葉
declared,宣言
hot,ホット
understood,理解
effort,努力
prepared,準備
escape,逃れる
attempt,試み
supposed,なっ
killed,殺されました
fast,速いです
author,著者
Indian,インディアン
brown,褐色
determined,決定
pain,痛み
spring,春
takes,とり
drawn,描かれました
soldiers,兵隊
houses,家
beneath,下に
talking,語り
turning,旋回
century,世紀
steps,ステップ
intended,意図されました
soft,柔らかい
straight,まっすぐ
matters,事項
likely,恐らく
corner,コーナー
trademark,商標
justice,正義
simply,単に
produce,作物
trust,信頼
appears,表示されます
Rome,ローマ
laugh,笑い
forget,忘れる
Europe,ヨーロッパ
passage,通路
eight,8
closed,閉まっている
ourselves,自分自身
gives,提供します
dress,ドレス
passing,通過
terrible,ひどいです
required,必須
medium,中
efforts,尽力
sake,酒
breath,呼吸
wise,賢い
ladies,女性
possession,所持
pleasant,楽しいです
perfectly,完全に
o',O」
memory,メモリ
usually,通常
grave,墓
fixed,修繕
modern,近代的
spot,スポット
troops,軍
rise,上がり
break,ブレーク
fifty,五十
island,島
meeting,会議
camp,キャンプ
nation,国家
existence,存在
reply,応答
I'd,私は思います
copies,コピー
sky,空
touch,接する
equal,等しい
fortune,幸運
v.,V。
shore,岸
domain,ドメイン
named,命名
situation,状況
looks,ルックス
promise,約束する
orders,受注
degree,程度
middle,中間
winter,冬
plan,予定
spent,過ごし
allow,許します
pale,淡いです
conduct,行動
running,ランニング
religious,宗教的な
surprise,驚き
minute,分
roman,ローマン
cases,ケース
shot,ショット
lead,鉛
move,動き
names,名
stop,停止
higher,より高いです
et,ら
father's,父の
threw,投げました
worse,さらに悪いです
built,構築されました
spoken,話した
glass,ガラス
board,ボード
vain,うぬぼれが強い
affairs,業務
instance,インスタンス
safe,安全
loss,損失
doctor,医師
offer,提供
class,クラス
complete,コンプリート
access,アクセス
lower,下
wouldn't,ではないだろう
repeated,繰り返し
forms,フォーム
darkness,闇
military,軍事的
warm,暖かいです
drink,ドリンク
passion,情熱
ones,もの
physical,物理的
example,例
ears,耳
questions,質問
start,開始
lying,横たわります
smiled,笑っ
keeping,キープ
spite,悪意
shown,示します
directly,直接
james,ジェームス
hart,ハート
serious,深刻
hat,帽子
dog,犬
silver,銀
sufficient,十分
main,メイン
mentioned,言及
servant,サーバント
pride,誇り
crowd,群集
train,列車
wonderful,素晴らしい
moral,道徳の
instant,インスタント
associated,関連しました
path,道
greek,ギリシャ語
meaning,意味
fit,フィット
ordered,順序付けられました
lot,たくさん
he's,彼は
proved,証明
obliged,義務づけ
enter,入る
rule,ルール
sword,剣
attack,攻撃
seat,シート
game,ゲーム
health,健康
paragraph,段落
statement,ステートメント
social,ソーシャル
refund,返金
sorry,ごめんなさい
courage,勇気
members,メンバー
grace,優美
official,公式
dream,夢
worthy,価値があります
rock,岩
jack,ジャック
provided,提供
special,特別
shook,横に振りました
request,リクエスト
mighty,強いです
glance,一目
heads,頭
movement,移動
fee,費用
share,シェア
expect,期待します
couldn't,できませんでした
dollars,ドル
spread,展開する
opposite,逆の
glory,栄光
twelve,12
space,スペース
engaged,従事して
peter,ピーター
wine,ワイン
ordinary,一般
mountains,山岳
taste,味
iron,鉄
isn't,ありません
distribute,分配します
trade,トレード
consider,考えます
greatly,大幅に
accepted,容認されました
forced,強制
advantage,利点
ideas,考え
decided,決定しました
using,使用して
officer,役員
rate,割合
clothes,服
sign,符号
feelings,思い
native,ネイティブ
promised,約束しました
judge,裁判官
difference,差
working,ワーキング
anxious,心配して
marry,結婚します
captain,キャプテン
finished,完成
extent,エクステント
watched,見て
curious,奇妙な
foreign,外国の
besides,さらに
method,方法
excellent,優れた
confidence,信頼
marked,マークされた
em,全角
jesus,イエス
exactly,丁度
importance,重要性
finally,最後に
bill,ビル
vast,莫大
prove,証明します
fancy,ファンシー
quick,速いです
yes,はい
sought,求め
prevent,防ぐ
neck,首
hearts,ハーツ
liberty,自由
interesting,面白い
sides,両側
legal,法的
gentlemen,諸君
dry,ドライ
serve,サーブ
aside,さておき
pure,ピュア
concerning,について
forgotten,忘れ
lose,失う
powers,権力
possessed,保有
thrown,スロー
evidence,証拠
distant,遠く
Michael,マイケル
progress,進捗
similar,同様の
narrow,狭い
altogether,全く
building,建物
page,ページ
particularly,特に
knowing,知ること
weeks,週間
settled,定住
holding,ホールディング
mountain,山
search,探す
sad,悲しい
sin,罪
lies,嘘
proud,誇りに思う
pieces,作品
clearly,はっきり
price,価格
ships,船
thirty,30
sick,病気
honest,正直な
shut,シャット
talked,話を聞きました
bank,バンク
fate,運命
dropped,ドロップ
judgment,判定
conditions,条件
king's,王さん
accept,受け入れます
hills,丘
removed,削除
forest,森林
measure,対策
species,種
seek,求める
highest,最高
otherwise,さもないと
stream,ストリーム
honor,名誉
carefully,注意深く
obtained,得られ
ear,耳
bread,パン
bottom,ボトム
additional,追加
presented,提示
aid,援助
fingers,指
q,Q
remembered,思い出しました
choose,選択
agreed,合意
animal,動物
events,イベント
there's,あります
fully,十分
delight,喜び
rights,権利
amount,量
obtain,入手します
tax,税金
servants,公務員
sons,息子
cross,クロス
shoulders,肩
thick,厚い
points,点数
stranger,ストレンジャー
woods,森
facts,事実
dare,挑戦
grow,育ちます
creature,生物
hung,ハング
rain,雨
FALSE,FALSE
tall,背が高いです
gate,ゲート
nations,国
created,作成した
refused,拒否しました
quietly,静かに
surface,表面
freely,自由に
holy,聖なる
streets,街
blow,ブロー
july,七月
regarded,考え
fashion,ファッション
report,報告書
coast,海岸
daily,日々
file,ファイル
shoulder,ショルダー
surprised,驚きました
faces,顔
succeeded,成功しました
birds,鳥類
distribution,分布
royal,王立
song,歌
wealth,富
comfort,快適さ
failed,失敗しました
freedom,自由
peculiar,特有
anyone,誰でも
advance,前進
gentle,穏やか
surely,確かに
animals,動物
waited,待っていました
secure,確保します
desired,希望
grass,草
touched,触れます
occupied,占領下
draw,ドロー
stage,ステージ
portion,部分
expressed,表現
opening,オープニング
june,六月
spirits,霊
fish,魚
tongue,舌
capital,資本
angry,怒りました
growing,成長
served,務め
carriage,キャリッジ
weather,天気
breast,乳
presently,現在
snow,雪
David,ダビデ
papers,論文
necessity,必要性
practice,練習
claim,請求
hast,HAST
education,教育
sharp,シャープ
prince,王子
permitted,許可
group,グループ
enemies,敵
robert,ロバート
played,演奏
throughout,ずっと
pity,哀れみ
expense,費用
yours,あなたのもの
million,百万
add,追加
pray,祈る
taught,教えた
explained,説明
tired,疲れました
leading,リーディング
kill,殺します
shadow,影
companion,コンパニオン
weight,重量
mass,質量
established,設立
suffered,苦しん
gray,グレー
brave,勇者
thin,薄い
satisfied,満足
check,小切手
virtue,美徳
golden,ゴールデン
numerous,数々
frequently,しばしば
famous,名高いです
telling,占い
powerful,強いです
alive,生きています
waters,海域
national,国民
weak,弱い
divine,神
material,材料
principal,主要な
gathered,集まりました
suggested,提案
frank,フランク
valley,谷
guess,推測
finding,発見
yellow,黄
heat,熱
remains,遺体
bent,屈曲
seized,押収
guard,ガード
equally,平等に
naturally,当然
box,ボックス
remarkable,顕著
gods,神々
moon,月
slight,わずかな
style,スタイル
pointed,尖った
saved,保存されました
windows,ウィンドウズ
crossed,交差した
louis,ルイ
pounds,ポンド
ain't,ありません
evidently,明らかに
principle,原理
immediate,即座
willing,喜んで
consequence,結果
richard,リチャード
principles,原則
characters,文字
paul,ポール
season,シーズン
remarked,リマーク
science,理科
tender,柔らかいです
worked,働いていました
grown,成長
whispered,ささやい
interested,興味がある
quarter,四半期
midst,真ん中
liked,気に入りました
advanced,高度
apparently,明らかに
bore,退屈させる
pwh,PWH
active,アクティブ
noticed,注目
aware,気がついて
thomas,トーマス
uncle,おじさん
list,リスト
dangerous,危険な
august,八月
calm,穏やか
genius,天才
sacred,神聖
kingdom,王国
entire,全体
popular,人気のあります
unknown,わからない
nice,すてきな
habit,習慣
spanish,スペイン語
familiar,よく知られています
reader,読者
published,公表
direct,直接
handsome,ハンサム
you'll,あなたはよ
joined,参加しました
actually,実際
kings,王
sd,SD
posted,投稿
approach,アプローチ
Washington,ワシントン
hearing,聴覚
needed,必要に応じて
increased,増加
walking,ウォーキング
twice,二回
throw,スロー
intellectual,知的
appointed,任命
wisdom,知恵
ceased,中止
truly,真に
numbers,数字
demanded,要求
priest,祭司
wounded,負傷しました
sorrow,悲しみ
drive,ドライブ
fault,欠陥
listened,耳を傾け
palace,宮殿
affair,事件、出来事
contact,連絡先
distinguished,区別
station,駅
beat,ビート
distributed,分散
e,E
listen,聴く
Italy,イタリア
fool,愚か者
becomes,となり
watching,見て
hurt,傷つい
wants,欲求
express,急行
occurred,発生した
favour,好意
height,高さ
size,サイズ
edge,縁
subjects,科目
task,仕事
follows,次の
interests,利益
nine,九つ
sympathy,同情
burst,バースト
putting,パッティング
dressed,服を着て
lifted,持ち上げます
hopes,希望
suffer,苦しみます
noise,ノイズ
smiling,にこやか
rode,RODE
tells,伝えます
minds,心
farther,さらに
literature,文献
vessel,容器
affection,愛情
suffering,苦しみ
proceeded,進め
flesh,肉
advice,助言
grand,壮大な
carrying,携帯
legs,下肢
Spain,スペイン
post,役職
collection,コレクション
empty,空の
rank,順位
storm,嵐
god's,神の
imagine,想像します
wore,身に着けていました
duties,業務
admitted,入院
countries,国
pocket,ポケット
arrival,到着
imagination,想像力
driven,ドリブン
loud,うるさいです
sentence,文
lovely,美しい
extraordinary,素晴らしいです
November,十一月
December,12月
happen,起こります
absence,不在
breakfast,朝ごはん
population,人口
thank,感謝
rules,ルール
inhabitants,住民
series,シリーズ
laughing,笑い
address,住所
relief,救済
bird,鳥
owner,オーナー
impression,印象
satisfaction,満足
coat,コート
prepare,作ります
relations,関係
shape,形状
birth,誕生
rapidly,すばやく
smoke,煙
January,1月
mother+'s,母+さん
machine,機械
content,コンテンツ
consideration,考慮
accompanied,同行
regular,定期的な
moving,移動します
stands,スタンド
wholly,全く
teeth,歯牙
busy,忙しい
treated,治療
burning,燃焼
shame,恥
quality,品質
bay,ベイ
discover,発見する
inside,内部
brain,脳
soil,土
completely,完全に
message,メッセージ
ring,リング
resolved,解決
calling,呼び出し
phrase,句
acts,行為
mention,言及
square,平方
pair,ペア
won,勝った
title,題名
understanding,理解
Sunday,日曜日
fruit,フルーツ
mad,怒っ
forces,力
included,付属
tea,お茶
rocks,岩
nearer,近いです
slaves,奴隷
falling,落下
absolutely,全く
slow,スロー
bearing,ベアリング
mercy,慈悲
larger,大きな
explain,説明します
contain,含む
grief,悲しみ
soldier,兵士
wasn't,ありませんでした
countenance,顔色
previous,前
explanation,説明
welcome,ようこそ
proposed,提案
prayer,祈り
stars,出演者
Germany,ドイツ
belief,信念
informed,通知
moments,瞬間
poetry,詩
constant,絶え間ない
buy,購入
final,最後の
faithful,忠実な
ride,ライド
policy,ポリシー
supper,晩餐
drawing,お絵かき
excitement,興奮
dying,死んでいる
demand,要求する
fighting,戦い
fields,田畑
drove,運転
upper,アッパー
sum,和
Philip,フィリップ
motion,モーション
assistance,援助
forty,四十
April,四月
stones,石
Edward,エドワード
fees,手数料
kindly,何卒
dignity,尊厳
catch,キャッチ
October,10月
seated,座っ
knees,膝
amongst,間で
current,電流
sending,送信
parties,パーティー
objects,オブジェクト
gained,獲得
bitter,苦い
possibly,おそらく
slave,奴隷
separate,分ける
loose,緩いです
text,テキスト
receiving,受信
worst,最悪
sold,販売
don,ドン
credit,クレジット
chosen,選ばれました
hoped,望みました
printed,印刷
terror,テロ
features,特徴
fond,好き
control,コントロール
capable,できます
fifteen,15
doesn't,しません
firm,当社
superior,優れました
cruel,酷いです
spiritual,スピリチュアル
Harry,ハリー
splendid,素晴らしい
proof,証明
pressed,押し
sooner,より早く
join,加わります
process,処理する
crime,犯罪
dust,ほこり
instantly,瞬時に
lands,土地
relation,関係
doors,ドア
concerned,心配している
deeply,深く
practical,実用的
colour,色
sing,歌う
destroy,破壊
anger,怒り
distributing,分散
results,結果
increase,増加する
reasons,理由
nose,鼻
friendly,優しいです
entrance,入口
rooms,部屋
admit,認めます
supply,サプライ
clean,掃除
useful,有用
yesterday,昨日
delicate,繊細
fail,不合格
continue,継続する
remove,削除する
addressed,対処
choice,選択
huge,巨大な
needs,ニーズ
wear,着る
blind,ブラインド
unable,できません
cover,カバー
double,ダブル
victory,勝利
dozen,ダース
constantly,絶えず
level,レベル
India,インド
release,解除
rough,粗い
ended,終了しました
shows,ショー
fly,飛ぶ
praise,賞賛
devil,悪魔
ahead,先に
smith,スミス
connected,接続
degrees,度
gain,利得
addition,添加
committed,関与する
chamber,チェンバー
notes,ノート
Italian,イタリアの
gradually,徐々に
acquaintance,知り合い
bought,買っ
souls,魂
mission,ミッション
sacrifice,犠牲
cities,都市
mistake,間違い
exercise,運動
conscience,良心
based,ベース
car,車
buried,埋葬
theory,理論
commanded,命じ
nobody,だれも
minister,牧師
closely,密接に
energy,エネルギー
dick,ペニス
bare,裸
fought,戦いました
partly,一部に
mistress,愛人
hate,嫌い
arose,生じました
playing,演奏
color,色
lake,湖
safety,安全性
provisions,条文
description,説明
asleep,眠っています
centre,センター
faint,気絶
thinks,考えて
parents,親
escaped,エスケープ
careful,注意深いです
enjoy,楽しい
drop,落とす
brilliant,鮮やかさ
brief,ブリーフ
bringing,持参
worship,崇拝
goods,品
tale,物語
skin,肌
roof,ルーフ
grey,グレー
highly,高度に
crown,クラウン
castle,城
excited,興奮
throne,王位
stated,述べました
despair,絶望
ease,簡易
attached,付属の
total,トータル
kindness,親切
mile,マイル
citizens,住民
circle,サークル
dull,鈍い
extreme,極端な
clouds,雲
figures,フィギュア
intention,意図
prison,刑務所
term,期間
assured,保証
hidden,隠されました
thoroughly,徹底的に
cup,カップ
member,メンバー
civil,民事上
apply,適用します
labor,労働
everywhere,どこにでも
intelligence,インテリジェンス
strike,攻撃
fairly,かなり
comply,応じます
fellows,フェローズ
haven't,持っていません
event,イベント
gently,優しく
connection,接続
protection,保護
conscious,意識して
edition,版
directed,監督
pulled,引っ張ります
flight,フライト
evident,明らか
surrounded,囲まれました
wishes,希望
yards,ヤード
voices,声
weary,疲れました
couple,カップル
variety,多様
whilst,一方で
volume,ボリューム
details,細部
older,年上の
requirements,必要条件
custom,カスタム
apart,別として
bow,弓
awful,酷いです
everybody,皆
labour,労働
asking,尋ねます
lover,恋人
showing,上映
introduced,導入
suit,スーツ
becoming,なってきて
composed,構成
plans,予定
rendered,レンダリング
pictures,ピクチャー
lest,LEST
volunteers,ボランティア
singing,歌うこと
eager,熱心な
precious,貴重
paused,一時停止
require,必要とする
meat,肉
whenever,都度
milk,ミルク
dogs,犬
successful,成功しました
plants,植物
vision,ビジョン
rare,レア
granted,付与されました
raise,レイズ
Egypt,エジプト
manners,マナー
cousin,いとこ
you've,あなたました
development,開発
Arthur,アーサー
obs,OBS
cool,涼しい
trial,トライアル
learning,ラーニング
approached,近づい
bridge,ブリッジ
abroad,海外へ
devoted,献身的な
paying,支払います
literary,文学の
writer,ライター
fn,FN
Israel,イスラエル
disappeared,消失
interrupted,中断されました
stock,株式
readers,読者
dreadful,恐ろしい
female,女性
protect,守ります
accustomed,慣れ
Virginia,バージニア州
type,タイプ
recognized,認識
salt,塩
destroyed,破壊されました
signs,サイン
innocent,無実の
temper,気性
plenty,豊富
pope,法王
avoid,避ける
hurried,慌しいです
represented,代表
favor,好意
mental,メンタル
attitude,姿勢
returning,帰国
admiration,感嘆
brothers,ブラザーズ
anxiety,不安
queen,女王
teach,教える
count,カウント
curiosity,好奇心
solemn,荘重
causes,原因
vessels,船
compelled,強要
dance,ダンス
hotel,ホテル
wicked,邪悪
fled,逃げました
kissed,キス
guns,銃
fill,フィル
visible,目に見えます
younger,年下
guide,ガイド
earnest,本格的
actual,実際の
companions,仲間
prisoner,囚人
miserable,惨め
lad,若者
harm,害
views,景色
Irish,アイルランド人
utterly,全く
ends,終了
shop,ショップ
stairs,階段
pardon,恩赦
gay,ゲイ
beg,頼みます
seldom,滅多
kinds,種類
record,記録
fat,太い
sand,砂
violent,激しいです
branches,支店
inquired,尋ね
IV,IV
September,九月
worn,着用
Ireland,アイルランド
flat,平らな
departure,出発
delivered,配信
gift,贈り物
ruin,破滅
skill,スキル
cattle,牛
equipment,装置
temple,寺院
calls,通話
earlier,ついさっき
license,ライセンス
visited,訪問
en,エン
consent,同意
sufficiently,十分に
natives,原住民
wound,創傷
laughter,笑い
contained,含まれています
perceived,認知
scattered,散乱
whence,そこから
rushed,急いで
chiefly,主として
bold,大胆な
anywhere,どこでも
witness,証人
