zh,ja
大陸,本土
需要,必要
像,写真
在,存在
給,与える
歲,年
請,お願いします
月,月
些,いくつか
名,名前
另,他の
若,お気に入り
亦,と同様
地區,範囲
技術,テクノロジー
至,に
特別,特別
其實,実際に
國際,国際性
不要,欲しくない
發生,起こる
參加,加入
一定,しなければならない
其中,NS
問,聞く
台北,台北
包括,含む
講,話す
造成,原因
看,見て
像,写真
常,頻繁
即,これは
喜歡,お気に入り
去,行く
沒,番号
出現,現れる
政治,政治
話,トーク
走,行く
單位,単位
一直,いつも
吧,バー
是否,どうにか
當然,もちろんです
整,全て
處理,取り持つ
歷史,歴史
了解,学び
那,それか
怎麼,どうやって
機會,機会
家,家
聽,聞く
所有,全て
只要,場合にのみ、
朋友,友人
令,作る
甚至,平
用,使用する
真,本物
六,六
呀,ああ
情況,調子
還是,まだです
錢,お金
方法,方法
點,点
任何,どれか
經驗,経験
藝術,美術
你們,君
十,十
主要,主要
媽媽,母親
增加,増加
提出,提案します
為什麼,どうして
以,に
您,君
計畫,予定
作,行う
利用,利用
東西,もの
在,存在
條,ストリップ
設計,デザイン
找,探す
之間,の間に
成長,育つ
能夠,できた
決定,決定する
學習,学び
誰,WHO
見,見
半,半分
時代,時代
完成,終了
帶,持っていく
相當,とても
同學,同級生
件,件
能力,能力
別人,他の人
生命,生活
下,下
來,来て
場,分野
會議,ミーティング
容易,簡単
開發,発展
民眾,人
事情,案件
書,本
事實,事実
有關,関連している
自,以来
組織,整理
言,語
多,たくさんの
愛,愛
建立,設立
相關,関連している
均,全て
產生,生産
多,たくさんの
業者,業者
解決,解決する
完全,完全に
的話,もしも
接受,受け入れる
知,知る
約,予約する
一般,一般的
推動,促進
過程,プロセス
管理,管理
功能,関数
手,手
打,ビート
水,水
要求,必須
小朋友,子供
教授,教授
難,難しい
我國,国
告訴,教えて
內容,コンテンツ
結果,結果
調查,調査
家庭,家族
成立,設定
選擇,選ぶ
經營,走る
然而,でも
父母,親
寫,書く
人類,人類
至於,はどうかと言うと
買,購入
尤其,特に
配合,協力
進入,入力
例如,例えば
得,した方が良い
討論,話し合います
依,によると
作品,仕事
情形,状況
資源,資源
原因,理由
啦,ラ
妳,君
運動,スポーツの
觀念,考え
給,与える
軟體,ソフトウェア
品質,品質
經過,通り抜けます
如此,この上
嗯,あの
精神,精神
影響,影響
之,の
過,合格
好像,お気に入り
成,なる
參與,参加
以後,後
於是,それから
部分,部
另外,更に
公園,公園
透過,パススルー
訓練,トレーニング
努力,努力
研究,リサーチ
具有,持ってる
共同,一般
所謂,所謂
下,下
行為,行動
合作,協力
經,終えた
合作,協力
目標,目標
起來,立ち上がる
考慮,検討
長,長いです
意見,意見
辦法,方法
音樂,音楽
連,平
受,に
廠商,固い
隻,隻
受到,苦しむ
一切,すべての
或是,または
中央,セントラル
某,特定
女性,女性
教學,教育
極,ポール
獲得,得る
真的,本物
路,道
來,来て
快,素早い
國小,小国
部份,部
工程,事業
女人,女性
舉行,所有
句,文
只是,それだけ
段,部
根據,によると
現象,現象
人民,人
土地,土地
面對,顔
注意,知らせ
這裡,ここ
新聞,ニュース
繼續,継続する
相信,信じる
政策,ポリシー
變成,なる
計劃,予定
強調,強調
學,学び
人士,人
前,前方
前,前方
存在,存在
制度,システム
意義,意義
代表,代表する
課程,コース
該,したほうがいい
沒,番号
至,に
需求,必要
人生,人生
那些,それらです
成功,成功
爸爸,お父さん
產業,業界
負責,責任者
民間,フォーク
雖,でも
影響,影響
直接,直接
幾乎,ほとんど
分,分
實際,実際
團體,グループ
價值,価値
使得,作る
類,親切
形成,形
科技,テクノロジー
這麼,それで
當,いつ
七,セブン
不但,だけでなく、
往,過去
本身,自体
標準,標準
似乎,思われる
應用,申し込み
或者,また
動物,動物
電話,電話
態度,やり方
建設,工事
事業,事業
老,年
那麼,それで
常常,頻繁
字,キャラクター
坐,座る
舉辦,所有
自我,自己
有的,いくつか
具,道具
目的,目的
塊,ピース
條件,調子
即使,それでも
好,それは良いのですか。
十分,非常に
多少,幾つか
放,置く
又,また
電影,映画
科學,理科
執行,埋め込む
邊,側
委員會,委員会
溝通,伝える
開,開いた
一起,一緒
張,開いた
針對,に対して
員工,従業員
引起,原因
自然,自然
那麼,それで
安全,安全性
總統,大統領
此外,また
擁有,持ってる
並且,と
事件,イベント
設計,デザイン
研究所,大学院
語言,言語
嚴重,ひどい
故事,物語
學術,奨学金
片,ピース
設備,装置
之外,外
車,車
基本,基本的な
實在,本当
久,長いです
套,設定
達到,成し遂げる
改善,向上
死,死にます
結構,構造
住,住む
皆,全て
改變,変化する
拿,取る
小組,グループ
支持,サポート
座,シート
醫院,病院
既,今
僅,それだけ
值得,価値
學者,学者
八,八
交通,交通機関
階段,ステージ
就是,あれは
申請,申し込み
主管,監督
申請,申し込み
同,同じ
感覺,感じられる
電視,テレビ
母親,母親
嘛,上手
香港,香港
記者,レポーター
壓力,プレッシャー
快樂,hapiness
喝,飲む
敢,挑戦
院,病院
也許,多分
人們,人
談,トーク
生產,製造
怕,恐れ
就,一度に
身體,体
規定,規制
程度,程度
積極,ポジティブ
知識,知識
作為,として
機構,機構
而是,しかし
鼓勵,奨励します
角色,役割
狀況,状況
專家,エキスパート
據,によると
清楚,晴れ
不僅,だけでなく、
比賽,競争
玩,演奏する
效果,効果
越,クロス
保護,守る
共,一般
開放,開いた
附近,近所の
上,優れました
父親,父親
專業,選考科目
經費,基金
曾經,一度
工作,ジョブ
願意,喜んで
分別,それぞれ
重視,を重視
不少,たくさんの
歡迎,ようこそ
小孩,子供
小時,時間
中國人,中国人
顯示,見せる
中共,中国共産党
出,でる
男人,男
避免,避ける
屬於,属する
實施,埋め込む
聲音,音
主義,ドクトリン
行動,アクション
不可,できません
只有,それだけ
校園,キャンパス
興趣,興味
山,山
表現,パフォーマンス
得,した方が良い
回來,戻る
主任,監督
裡面,NS
經常,頻繁
不再,これ以上
電子,電子
受,に
思想,考え
頭,頭
終於,最後に
謝謝,ありがとう
協助,支援する
除,削除する
當地,ローカル
正式,丁寧
真正,本物
低,低い
性,性別
份,共有
因素,要素
推出,ロールアウトする
上,優れました
價格,価格
去,行く
認識,知る
方向,方向
責任,責任
說明,命令
工業,業界
大量,多数
做,行う
逐漸,徐々に
心理,心理学
一點,少し
供,にとって
須,しなければならない
簡單,単純
運用,使用する
觀察,観察する
往往,頻繁
規劃,プランニング
減少,減らす
重新,また
業務,仕事
報導,レポート
仍然,まだ
感到,感じられる
開放,開いた
領域,分野
有效,効率的
女,女性
要,欲しいです
從事,従事
發揮,及ぼします
人才,才人
反而,代わりは
行政,行政の
銀行,銀行
公共,公衆
媒體,メディア
提高,向上
代,世代
自然,自然
社區,コミュニティ
力量,力
啊,何
教育部,文部科学省
愈,癒し
超過,超えた
維持,維持
家長,両親
結合,混ぜる
校長,校長
通常,通常
缺乏,足らない
委員,委員
特色,特徴
結果,結果
有時,時折
教師,先生
之前,前
遠,遠い
控制,コントロール
本,本
否則,そうでなければ
法,法
少,少し
原則,原則として
要,欲しいです
臉,顔
通過,合格
建議,提案
工具,道具
作業,手術
達,到着
節目,プログラム
智慧,知恵
來自,から来る
而,と
變化,バラエティ
同樣,同じ
形式,形
站,台
以為,考え
健康,健康
擔任,添え
人口,人口
規劃,プランニング
剛,ただ
特殊,特別
原來,であった
道,道
分,分
傳統,伝統
總是,いつも
前往,行け
投資,投資
加強,強化する
不斷,常に
對象,オブジェクト
追求,追及する
加上,プラス
比,比較
思考,考える
製作,作る
台北市,台北市
取得,入手
出來,出てくる
加入,参加する
台,タワー
安排,整える
兒童,子
國中,二次
範圍,範囲
老人,先輩
雙方,両側
牠,牠
北京,北京
年輕,若い
結束,終わり
教,教える
程式,プログラム
婦女,女性
找到,現れる
彼此,お互い
全球,世界的に
成本,料金
回到,戻る
部,デパートメント
而已,これ以上何もない
之下,下
等,待って
變,変化する
期間,限目
非,番号
小姐,逃す
整體,全体
採用,使用する
根本,基本的
叫,電話
歐洲,ヨーロッパ
正在,正在
加以,することが
充滿,満杯
系列,シリーズ
隨著,一緒に
早,朝
等等,などなど
頗,とても
不足,不十分
總,合計
分析,分析します
深,深い
報告,報告
不錯,良い
在於,それか
旁,それ以外
笑,笑
故,したがって
消費者,消費者
意識,意識
公尺,メートル
民族,国籍
為主,優先順位を付けます
大眾,公衆
到底,最終的には
願,喜んで
度,費やす
大概,多分
對方,向こう側
官員,役員
發表,公開
進一步,さらに遠く
自由,自由
正確,正しい
豐富,リッチ
國民黨,国民党
戰爭,戦争
怎麼樣,どのようにそれについて
只好,した方が良い
明顯,明らか
改革,改革
表達,特急
肯定,affim
強,強いです
高興,幸せ
哪,どこ
樹,木
適合,適切
茶,お茶
別,別
國外,外国
關心,お手入れ
蘇聯,ソビエト連邦
成績,スコア
人物,形
聽到,聞く
創造,作成
不必,必要はありません
不論,どうにか
尚,まだ
居民,居住者
不管,かかわらず
美麗,美しさ
伊拉克,イラク
帶來,持っていく
有,持ってる
般,選別
永遠,永遠に
感情,感情
兒子,息子
這樣子,この上
起,上昇
全部,全て
回家,家に帰れ
獨立,独立
英國,英国
投資,投資
理論,仮説
面臨,に直面して
選手,選手
分鐘,分
內部,内部
西方,西
人家,他の人
準備,準備
眼睛,目
如,お気に入り
眼,目
離開,離れる
競爭,競争
專利,特許
成果,成果
活,住む
心情,フィーリング
介紹,導入する
現場,現場で
突然,突然
客戶,お客様
間,の間に
印象,印象
花,花
海,海洋
真正,本物
保持,保つ
時期,限目
層,床
保持,保つ
方便,便利
幫助,ヘルプ
基礎,ベース
個人,個人的
新竹,新竹
李,梅
生,妊娠
圖書館,図書館
她們,彼ら
美元,ドル
讀,読む
以來,以来
或許,多分
課,クラス
病人,忍耐強い
實驗,実験
有時候,時折
辦理,取り持つ
部門,デパートメント
類似,似ている
廣告,宣伝します
送,配達
夠,足りる
新加坡,シンガポール
擔心,心配
商業,仕事
掌握,主人
兩岸,両側
門,ドア
方案,プログラム
至少,少なくとも
看法,見る
原本,元の
措施,測定
表現,パフォーマンス
社團,協会
九,九
展開,拡張
如,お気に入り
博士,博士号
道路,道
竟,実際に
項目,事業
需,必要
學院,研究所
代表,代表する
同意,同意
原住民,原住民
策略,ストラテジー
白,白い
平均,平均
所,場所
靠,による
互相,お互い
地位,スターテス
體育,体育
樣,サンプル
亞洲,アジア
採取,取る
日,日
畢業,卒業
相同,同じ
欣賞,感謝
法律,法
詞,語
大型,大規模
中華,中国
台大,国立台湾大学
意思,平均
在一起,一緒
係,係
持續,続け
群,グループ
慢慢,ゆっくり
高雄,高雄
製造,製造
醫療,医学
邀請,招待
滿足,満足させる
速度,速度
重點,強調
保存,保存
評估,評価
限制,リミット
符合,に準拠
利益,利点
組成,構成
檢查,検査
看見,見る
瞭解,学び
立刻,すぐに
女兒,娘
數,番号
上課,授業に出席する
整合,統合
更多,もっと
唯一,それだけ
人數,人々の数
的確,確かに
主題,テーマ
用戶,ユーザー
快速,速い
設施,施設
文學,文学
步,ステップ
那裡,三
到,到着
美,美しい
需要,必要
失去,失う
做為,として
複雜,繁雑
屆,NS
作用,効果
調整,調整
佔,取り上げる
要求,必須
高中,高校
動作,アクション
模式,モデル
多,たくさんの
吸引,吸収します
記得,覚えて
賣,売る
例,例
推廣,展開する
本來,元は
具體,明確な
太太,夫人
之中,間で
宗教,宗教
舊,年
反應,反応
觀眾,観客
立場,位置
旅遊,トラベル
因而,したがって
理念,考え
它們,彼ら
上面,その上
回,回
支,ブランチ
少年,少年
輔導,コーチ
爭取,喧嘩
輔導,コーチ
想到,考える
可能,可能
尊重,尊敬
替,にとって
地點,場所
何,何
黨,パーティ
進步,進捗
欲,欲しいです
危機,危機
正常,正常
角度,角度
尚未,まだ
院長,学部長
習慣,癖
期,予想
環保,環境にやさしい
交流,comminicate
困難,困難
需,必要
完整,全体
費用,料金
完整,全体
上述,前述した
呈現,現れる
照顧,の世話をします
達成,達成
批,バッチ
培養,育成します
垃圾,ごみ
圖,写真
擴大,拡大
篇,ピース
比例,割合
風格,スタイル
難以,難しい
機關,器官
情緒,ムード
勞工,労働
一旦,一度
多媒體,マルチメディア
求,頼みます
絕對,絶対
資料庫,資料庫
選舉,選挙
不可能,不可能
馬上,すぐに
說話,いう
享受,楽しい
工廠,工場
食物,食物
消息,情報
番,番
趨勢,傾向
房子,家
觀點,意見
購買,買う
普遍,ユニバーサル
設立,設定
差異,違い
差,違い
另外,更に
統一,ユナイト
青年,若者
統一,ユナイト
行政院,行政院
規模,規模
股,共有
破壞,破壊する
想要,をしたい
換,変化する
選,選択する
人力,人間
美,美しい
水準,レベル
首,頭
河川,河川
文字,語
立即,すぐに
適當,適切な
醫師,医師
屬,属する
重,重い
就是說,あれは
結婚,結婚します
有,持ってる
日子,日
非,番号
貿易,取引
相當,とても
參觀,訪問
公開,公衆
順利,なめらかに
男,男
銷售,セール
辦,管理
銷售,セール
維護,維持
投入,入れます
稱,いう
加上,プラス
民進黨,DPP
必,しなければならない
自由,自由
有限,限定
預算,バジェット
計算,計算
效率,効率
樣子,外観
訪問,アクセス
位於,寝転ぶ
訪問,アクセス
接觸,と連絡を取って
流行,人気
喔,おー
股市,株式市場
召開,招集します
運作,オペレーション
出版,出版
藉,かりて
觀光,観光に行く
降低,減らす
大約,約
來源,ソース
理由,理由
不斷,常に
一點,少し
回答,返事
青少年,ティーンエイジャー
基本,基本的な
一般,一般的
看看,顔をしています
合理,適正
採,選ぶ
跟,と
生物,生物学
中華民國,中華民国
直到,それまで
叫,電話
氣,ガス
給予,与える
中文,中国の
法國,フランス
答案,答え
規定,規制
可能,可能
準備,準備
金融,ファイナンス
週,週
下,下
農民,農家
法令,法令
訊息,メッセージ
公里,キロメートル
剛剛,ただ
紅,赤
較,比較的
聲,ボイス
倍,時間
加,追加
民主,民主主義
臺北,台北
無論,関係なく
辦公室,オフィス
一方面,一方では
良好,良い
級,クラス
遊戲,ゲーム
道,道
酒,リカー
形象,画像
跑,走る
選擇,選ぶ
導致,引き起こす
提到,言及
氣氛,雰囲気
動,動詞：移動
院士,アカデミシャン
指,参照する
充分,満杯
現代,モダン
必要,必要
生態,エコロジー
汽車,車
例子,例
有點,少し
博物館,博物館
權力,その力
族群,グループ
媽,議事録
牆,壁
船,ボート
基金會,財団
詩,詩
雜誌,雑誌
生存,生き残ります
且,と
天,空
小孩子,子
生存,生き残ります
大樓,建物
最好,多くの
讀書,読む
見到,見る
最佳,最適な
出去,外出
想法,考え
幫,ヘルプ
醫生,医者
堅持,主張
創作,創造
廣場,平方
成員,メンバー
留下,離れる
森林,森林
算,計算
顆,出演者
各,各
男女,男と女
特性,特性
影像,画像
遭,苦しむ
強烈,強い
欸,え
解釋,説明
儘管,でも
主動,主導権
喔,おー
演出,見せる
文章,論文
理想,理想
重大,選考科目
腳,足
演出,見せる
危險,危険
背景,バックグラウンド
不少,たくさんの
唱,歌う
即將,来たる
大部分,多くの
通訊,コミュニケーション
越來越,もっと
考試,試験を受ける
學期,学期
反,反対
心靈,魂
獲,入手
既然,今
設,推定
顧客,お客様
家人,家族
組,グループ
紛紛,続々
提升,促進
搞,行う
提升,促進
隨時,いつでも
譬如,例えば
子女,子
確定,決定
公平,公平
公平,公平
視為,見なさ
技巧,スキル
接著,それから
畫,ペインティング
領導,リード
領導,リード
小心,気をつけて
主辦,ホスト
探討,調査
赴,行く
回,回
探討,調査
回去,戻る
弟弟,弟
風,風
小學,小学校
興建,建てる
興建,建てる
狀態,州
支援,支援
還是,まだです
治療,処理
衣服,衣類
名字,名前
參考,参照する
女孩,女の子
男性,男性
教室,教室
太陽,太陽
在,存在
口,口
陳,リスト
稱為,呼ばれます
國民,全国
研討會,セミナー
飛機,飛行機
建築師,建築家
王,王
究竟,結局
花,花
確實,本当
公路,高速道路
至今,至今
天下,世界
考量,検討事項
考量,検討事項
日,日
管,チューブ
少數,少し
判斷,ジャッジ
快,素早い
扮演,行為
判斷,ジャッジ
扮演,行為
相對,比較的
校方,学校
早已,随分前
讀者,読者
大會,総会
工人,ワーカー
數量,量
材料,素材
建議,提案
特徵,特徴
殺,殺す
算是,考慮
革命,革命
革命,革命
國人,国
魚,魚
操作,操作します
統計,統計
操作,操作します
德國,ドイツ
顯然,晴れ
信心,自信
放棄,あきらめる
懂,理解
治療,処理
生活,人生
分析,分析します
忙,忙しい
建,設立する
一生,一生
黑,黒
小說,小説
主席,会長
政大,国立政治
集團,グループ
報名,サインアップ
理想,理想
著名,有名
道德,道徳
哪裡,どこ
消失,消える
消失,消える
經由,経由
前面,フロント
遇到,会う
提,運ぶ
叫,電話
心態,メンタリティー
集中,集中
集中,集中
建築物,建物
畫面,写真
叫,電話
定,そうです
甚,非常に
可惜,残念
把,バンドル
醫學,薬
輸入,入力
百,百
輸入,入力
型態,パターン
道理,理由
愈來愈,だんだん
色彩,色
歌,歌
現實,現実
婚姻,結婚
地球,地球
指導,ガイド
指導,ガイド
架構,建築
進口,輸入
進口,輸入
論文,論文
出國,海外に行く
出國,海外に行く
商品,商品
市長,市長
分為,分割します
夢,夢
以前,前
恐怕,怖いです
死亡,死にます
哥哥,兄貴
檔案,ファイル
死亡,死にます
滿意,満足させる
滿,満杯
可愛,可愛い
上海,上海
可愛,可愛い
休閒,余暇
休閒,余暇
有趣,面白い
職業,職業
說法,声明
英文,英文
緊張,緊張
緊張,緊張
預計,予報
兄弟,兄弟
體系,システム
間,の間に
專案,計画
孔子,孔子
報導,レポート
一半,半分
疾病,疾患
其它,他の
外國,外国
牠們,彼ら
報紙,新聞
狗,犬
協調,調整
協調,調整
念,読む
哲學,哲学
碰到,突き当たる
提昇,促進
提昇,促進
關於,約
同仁,同仁
深入,綿密な
漫畫,漫画
資金,資金
比較,比較
作業,手術
比較,比較
想像,想像
短,短い
即可,に
西,OO
相,互いに
位置,位置
錯,間違いました
穩定,安定
尋找,探す
鳥,鳥
系,タイ
如此,この上
系,タイ
穩定,安定
長大,成長する
促進,促進
人文,文系
衝突,対立
廚房,キッチン
海外,海外
表演,パフォーマンス
表演,パフォーマンス
再度,もう一度
畫,ペインティング
電信,情報通信
反映,反射
北,北
反映,反射
筆,ペン
近,選ぶ
障礙,障害
焦點,集中
忽然,突然
到處,どこにでも
植物,工場
顯得,現れる
不一定,不確実
攝影,写真術
隨,従う
概念,概念
面積,範囲
為何,どうして
高達,上
關鍵,不可欠
作法,練習
來到,来て
如何,どうやって
來到,来て
胡適,胡
倒,秋
人人,みんな
仔細,細心
原,元の
成就,成果
視,見る
行銷,売る
好幾,いくつかの
辛苦,難しい
年輕人,若い人たち
信,手紙
漸漸,徐々に
真,本物
教材,教材
所,場所
自然,自然
動詞,動詞
整理,几帳面
整理,几帳面
男生,男子生徒
遊客,観光客
等,待って
女生,女の子
對,正しい
懷疑,疑問に思う
痛苦,痛み
懷疑,疑問に思う
痛苦,痛み
交換,交換
互動,相互の作用
互動,相互の作用
設置,設定
張,開いた
設置,設定
留,保つ
居住,住む
因應,に応答して
丈夫,夫
紀錄,記録
答,答え
愛,愛
畫家,画家
數字,番号
一向,常にされています
連線,繋がり
以免,ないように
固定,修繕
通信,通信
連線,繋がり
通信,通信
恢復,回復する
修正,修正
修正,修正
景觀,風景
線,ワイヤー
縣市,郡部
他人,他人
恢復,回復する
基於,に基づく
只是,それだけ
實現,達成
演講,スピーチ
男子,男
實現,達成
具備,持ってる
奇怪,怪異
空氣,空気
會員,メンバー
取,選ぶ
深刻,深遠
漂亮,かわいい
菜,野菜
希望,望み
相互,共通の
多數,多くの
總經理,ゼネラルマネージャー
很多,たくさんの
收,受け取る
權利,右
照片,写真
病,病気
物質,物質
宿舍,寮
即,これは
教練,コーチ
宇宙,宇宙
更加,もっと
住宅,住宅
明白,晴れ
竟然,それが判明
光,光
迅速,速い
睡,睡眠
大多數,多くの
不良,悪い
自動,オートマチック
哦,おー
突破,突破口
後面,後ろ
污染,汚染
污染,汚染
陸續,連続して
飛,飛ぶ
內心,心臓
女子,女性
玻璃,草
神,神様
中,真ん中
市民,市民
承認,認める
不滿,不満
不滿,不満
年齡,年
近,選ぶ
記憶,メモリー
打算,意図する
應用,申し込み
老闆,ボス
成熟,熟女
成熟,熟女
進,入力
證明,証明
證明,証明
國立,全国
施工,工事
施工,工事
口,口
名,名前
叫做,呼ばれます
入,入力
包含,含む
場所,場所
後,後方
行,行
休息,休み
從來,一度もない
東,東
要是,もしも
適應,適応
工會,連合
原,元の
聽說,と言われている
高級,高度
距離,距離
不易,簡単
有沒有,ありますか
不易,簡単
人性,人間の本性
走到,に行ってきました
拍,シュート
馬,馬
規則,ルール
以外,以外
關懷,お手入れ
關懷,お手入れ
另一方面,一方で
實力,力
靠,による
假如,もしも
研發,研究開発
攻擊,攻撃
攻擊,攻撃
幹部,幹部
資格,資格
引進,導入する
引進,導入する
做到,達成
吃飯,食事する
保險,保険
發行,発行済み
發行,発行済み
壞,悪い
證券,証券
大幅,鋭く
還有,そのほか
公斤,キログラム
性質,自然
某些,いくつか
幸福,幸福
幸福,幸福
以上,その上
明確,晴れ
聯盟,アライアンス
主持,司会します
一再,繰り返し
保育,保育
師生,師弟
立委,立法者
改,変化する
年,年
保育,保育
多半,多くの
管道,パイプライン
絕不,ありえない
報,報告
認同,身元
認同,身元
一致,一貫性
最多,多くの
股票,株式
作者,著者
島,小島
細胞,細胞
病毒,ウイルス
衛生,健康
易,簡単
抗議,抗議する
免費,自由
抗議,抗議する
教育局,教育省
哪,どこ
農業,農業
管制,コントロール
一定,しなければならない
自動化,オートメーション
展示,示す
展示,示す
情感,感情
熱,ホット
一邊,片側
自動化,オートメーション
忘,忘れる
拒絕,ごみ
只有,それだけ
妻子,妻
行業,業界
經理,マネジャー
那樣,その種類
和平,平和
和平,平和
哭,泣く
城,市
根,根
主人,オーナー
廠,工場
廠,工場
大人,大人
機器,機器
不得,してはなりません
橋,橋
以下,以下
幅,幅
公分,センチメートル
失敗,不合格
失敗,不合格
真實,本物
主張,提唱する
外面,外
首,頭
直,真っ直ぐ
真實,本物
車子,車
星期,週
表面,水面
紐約,ニューヨーク
做法,練習
創意,クリエイティブ
台中,台中
乃,それで
構成,構成
網際,インターネット
怎麼辦,何をすべきか
事務,業務
眼前,現在
構成,構成
警察,警官
個性,正確
研究院,研究所
意願,願い
視訊,ビデオ
體制,システム
經濟部,経済省
感受,フィーリング
負責人,主要な
陽光,日光
用來,に
修,建てる
機場,空港
中東,中東
不用,必要はありません
妹妹,妹
顧問,コンサルタント
上市,市場に
退休,引退します
肯,喜んで
早,朝
權益,権利と利益
店,店
夠,足りる
決定,決定する
審查,診る
輕,ライト
處,オフィス
望,見る
年紀,年
交易,トレード
房間,ルーム
性格,キャラクター
畢竟,結局
詞典,辞書
平衡,残高
哦,おー
苦,苦い
拉,引く
大小,サイズ
佳,良い
保留,予約
玩具,おもちゃ
密切,選ぶ
不過,しかし
打開,開ける
南,南
亂,混沌
予以,することが
供應,供給
文明,文明
按,によると
相處,やっていく
供應,供給
相處,やっていく
消費,消費
激烈,激しい
付出,支払い
競爭,競争
基金,基金
好處,利点
作家,ライター
若是,もしも
金錢,お金
落實,埋め込む
現有,既存
等於,同等
懂得,知る
改進,向上
分配,分配します
購物,買い物
世紀,世紀
共識,コンセンサス
分配,分配します
航空,航空
累積,累積
法規,立法
程序,プログラム
購物,買い物
貢獻,助ける
特質,形質
任務,仕事
民意,世論
輕鬆,簡単
軍事,軍隊
野生,野生
道,道
形容,説明
展現,見せる
挑戰,チャレンジ
河,川
起,上昇
滿,満杯
輛,車
球,玉
同,同じ
其次,第二に
統治,ルール
跳,ジャンプ
嚴格,厳しい
想起,覚えて
樓,建物
投資人,投資家
修改,改訂
幫忙,ヘルプ
類型,の種類
波,波
毛,髪
飯店,飲食店
超越,トランセンド
雨,雨
必要,必要
旁邊,それ以外
依然,まだ
看出,見る
旅行,旅行
熟悉,見慣れた
不同,違う
抓,把握
餐廳,飲食店
不妨,願い
平等,平等
困難,困難
顏色,色
談到,トーク
彈性,弾性
從此,それ以来、
哈,何
待,扱う
硬體,ハードウェア
種子,シード
份子,活動家
命運,運命
看起來,ルックス
規範,仕様
演奏,演奏
癌症,癌
藝術家,アーティスト
過,合格
得以,に
日本人,日本人
街,街
極為,非常に
先進,高度
難道,は
出發,出発する
市府,都市
諮詢,相談します
嘴,口
諮詢,相談します
陪,同行
停,止まる
連接,接続
外交,外交的
營業,仕事
營業,仕事
期待,予想
罵,叱る
期待,予想
授權,承認
授權,承認
面前,前
始終,いつも
理解,理解する
正好,ただ
多麼,どうやって
澳洲,オーストラリア
理解,理解する
特定,特定
縣長,郡ヘッド
認真,深刻
樂團,オーケストラ
認真,深刻
主力,メイン
福利,福祉
不得不,した方が良い
生意,仕事
情,愛情
從小,小さい頃から
展出,画面
展出,画面
看看,顔をしています
取代,交換
全面,包括的
名稱,名前
隊,チーム
派,グループ
華人,中国の
藉由,に
生氣,怒り
縣府,郡
衝擊,攻撃
資產,財産
試,試す
發出,問題
毫無,何もありません
停止,止まる
基地,ベース
感動,移動します
矛盾,矛盾
藥物,ドラッグ
